model_no,product_category,product_subcategory,product_group,product_sub_group,brand,product_name,product_description,actual_price,discount_price,ratings_and_reviews,attr1:color,attr2:image:1,attr2:image:2,attr2:image:3,attr2:image:4,attr2:image:5,tag_1,tag_2,tag_3,tag_4,tag_5,var1:model_no,var1:product_name,var1:product_description,var1:actual_price,var1:discount_price,var1:attr1:color,var1:attr2:image,var2:model_no,var2:product_name,var2:product_description,var2:actual_price,var2:discount_price,var2:attr2:color,var2:attr2:image,total_variants,total_attributes
SKU:  S9030101,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - S9030101  TRAP,New Cat No:, 400,,,Snow White,https://www.cera-india.com/wp-content/uploads/2016/03/9002-trap-p9022-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1020101,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CALIBRE,CALIBRE Two Piece EWC 645 x 365 x 760 mm  New Cat No: S1020101 S Trap 100 mm S1020102 P trap ," 18,310",,,"Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2016/03/2004-Calibre-EWC-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1021103,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CALIBRE DELUXE,CALIBRE DELUXE," 10,160",,,"Ivory,Snow White","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20%20%22%3E%3C/svg%3E",,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1021104,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CALLAGHAN,CALLAGHAN Two Piece EWC 650 x 405 x 770 mm  New Cat No: S1021104 S Trap 200 mm S1021105 P Trap  Includes S1060104 Cistern B1510101 Carina Seat Cover B1810107 Twin Flush Fittings," 10,880",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/3100-callaghan-EWC-S-plus-3200-cistern-2308-and-2209.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1021106,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CLAIR DELUXE,Two Piece EWC 680 x 390 x 835 mm  New Cat No: S1021106 S Trap 120 mm  Includes S1060102 Cistern B1510108 Seat Cover B1810103 Twin Flush Fittings," 14,900",,,Snow White,https://www.cera-india.com/wp-content/uploads/2016/03/CLAIR-DELUXE-2025-EWC-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1021109 with Duroplast,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CAMPBELL,CAMPBELL Two Piece EWC," 16,260",,,Snow White,https://www.cera-india.com/wp-content/uploads/2019/05/CAMPBELL-S1021109-Duroplast-Seat-Cover-WEB.png,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1021109,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CAMPBELL,CAMPBELL Two Piece EWC 655 X 370 x 770 mm  New Cat No: S1021109 S Trap 120 mm  S1021110 P Trap," 13,970",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/S1021109-CAMPBELL-WITH-SLIM-SEAT-COVER.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1023115,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CALVINA,Two Piece EWC," 11,480",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2018/10/S1023115-Calvina-2050-Two-piece-EWC-WEB.png,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1021116,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CANDID,CANDID Two Piece EWC 700 x 360 x 765 mm," 13,240",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/CANDID-3149-EWC-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1051116,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CURTIS,EWC 675 x 435 x 735 mm New Cat No : S1051116 S Trap 220 mm  Includes B1020105 Twin Flush Plastic Cistern B1510101 Carina Seat Cover B1810107 Twin Flush Fittings," 7,510",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/07/3104-CURTIS-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1031102,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CLAIR,EWC Wall Hung Extended," 14,970",,,"Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Soft Ivory,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2021/02/Clair-Two-Piece-WH.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1031103 with Slim Seat Cover,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CAMPBELL,CAMPBELL EWC Wall Hung Extended," 17,270",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2020/10/S1031103-CAMPBELL-WITH-SLIM-SEAT-COVER.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1031103 with Duroplast,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CAMPBELL,CAMPBELL EWC Wall Hung Extended," 19,560",,,Snow White,https://www.cera-india.com/wp-content/uploads/2019/05/CAMPBELL-S1031103-Duroplast-Seat-Cover-WEB.png,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1031111,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CURTIS,EWC Wall Hung Extended," 8,430",,,Snow White,https://www.cera-india.com/wp-content/uploads/2018/10/CURTIS-S1031111-Two-piece-Ext-EWC-WEB.png,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1031104,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CALLAGHAN,CALLAGHAN EWC Wall Hung Extended 655 x 405 x 730 mm  New Cat no: S1031104 P Trap  Includes S1060104 Cistern B1510101 Carina Seat Cover B1810107 Twin Flush Fittings," 12,230",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/3101-Callaghan-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1031101,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CALIBRE,CALIBRE EWC Wall Hung Extended 655 x 350 x 735 mm  New cat No : S1031101 P Trap  Includes S1060101 Cistern B1510101 Carina Seat Cover B1810102 Twin Flush Fittings  Other Suitable Seat Covers B1510104 Calibre Seat Cover," 11,600",,,"Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2016/03/2044-calibre-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1044149,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CARTIER,530 x 350 x 375  mm," 17,990",,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/11/S1044149-Cartier-F11@2989-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1044150,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CAPITOL,530 x 350 x 375 mm," 18,990",,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/10/S1044150-Capitol-Wall-Hung-EWC-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1043137,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CAMPBELL MINI,EWC Wall Hung with Campbell slim soft close seat cover," 7,690",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2020/10/S1041137-CAMPBELL-Mini-with-Slim-seat-cover.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1047105,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CAMPBELL MINI with built in jet,Wall Hung EWC with Campbell slim soft close seat cover," 8,790",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2020/10/S1046105-CAMPBELL-Mini-jet-with-Slim-seat-cover-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1043136,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CAMPBELL CLEAN RIM,CAMPBELL CLEAN RIM Wall Hung EWC with Campbell slim soft close seat cover," 11,990",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2020/10/S1013156-CAMPBELL-Slim-seat-cover-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1043139,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CLIPTON,520 x 360 x 360 mm," 11,490",,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/06/Clipton-S1043139.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1043143,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CIERRA,510 x 350 x 360 mm," 8,990",,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/06/Cierra-S1043143.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1043140,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CUBICA,495 x 340 x 335 mm," 7,990",,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/06/S1043140-CUBICA-WEB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1044142,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - COSMIC,515 x 360 x 355 mm," 15,990",,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/06/S1044142-COSMIC-WEB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1043144,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CARNIVAL Rimless,510 x 365 x 380 mm," 12,990",,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/06/CARNIVAL-Rimless-S1043144-WEB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1044147,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CARLTON,490 x 350 x 360 mm," 14,490",,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/06/S1044147-CARLTON-WEB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1044141,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CUTINA RIMLESS,550 x 365 x 365 mm," 14,990",,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/02/CUTINA-RIMLESS-S1044141.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1020101,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CALIBRE,CALIBRE Two Piece EWC 645 x 365 x 760 mm  New Cat No: S1020101 S Trap 100 mm S1020102 P trap ," 10,630",,,"Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2016/03/2004-Calibre-EWC-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1021103,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CALIBRE DELUXE,CALIBRE DELUXE," 10,160",,,"Ivory,Snow White","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20%20%22%3E%3C/svg%3E",,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1021104,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CALLAGHAN,CALLAGHAN Two Piece EWC 650 x 405 x 770 mm  New Cat No: S1021104 S Trap 200 mm S1021105 P Trap  Includes S1060104 Cistern B1510101 Carina Seat Cover B1810107 Twin Flush Fittings," 10,880",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/3100-callaghan-EWC-S-plus-3200-cistern-2308-and-2209.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1031103 with Duroplast,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CAMPBELL,CAMPBELL EWC Wall Hung Extended," 19,560",,,Snow White,https://www.cera-india.com/wp-content/uploads/2019/05/CAMPBELL-S1031103-Duroplast-Seat-Cover-WEB.png,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1031104,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CALLAGHAN,CALLAGHAN EWC Wall Hung Extended 655 x 405 x 730 mm  New Cat no: S1031104 P Trap  Includes S1060104 Cistern B1510101 Carina Seat Cover B1810107 Twin Flush Fittings," 14,550",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/3101-Callaghan-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1043111,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CRUSE,CRUSE," 8,490",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/2058-Cruse-Wall-Hung-EWC-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1031101,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CALIBRE,CALIBRE EWC Wall Hung Extended 655 x 350 x 735 mm  New cat No : S1031101 P Trap  Includes S1060101 Cistern B1510101 Carina Seat Cover B1810102 Twin Flush Fittings  Other Suitable Seat Covers B1510104 Calibre Seat Cover," 11,600",,,"Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2016/03/2044-calibre-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S4025101,bathroom and kitchen fittings,sanitary ware,sanitary,urinal,cera,CERA Urinals - CORE,Flat back urinal with integrated wash basin and sensor tap," 16,085",,,,https://www.cera-india.com/wp-content/uploads/2019/07/S4025101-Core-Urinal-WEB.png,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S4020112,bathroom and kitchen fittings,sanitary ware,sanitary,urinal,cera,CERA Urinals - CAPRIANA,CAPRIANA," 5,890",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2020/10/S4020112-Capriana-Urinal.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S4020113,bathroom and kitchen fittings,sanitary ware,sanitary,urinal,cera,CERA Urinals - CIVIC,CIVIC," 8,500",,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/10/CIVIC-S4020113-Urinal-WEB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S4020107,bathroom and kitchen fittings,sanitary ware,sanitary,urinal,cera,CERA Urinals - CALCIA,CALCIA," 10,990",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2020/10/S4020107-Calcia-Urinal.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S4020101,bathroom and kitchen fittings,sanitary ware,sanitary,urinal,cera,CERA Urinals - CASEY,Urinal Flat Back 315 x 265 x 440 mm," 1,850",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/5001-Urinal-Small-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S4020103,bathroom and kitchen fittings,sanitary ware,sanitary,urinal,cera,CERA Urinals - CHRYS,Urinal Flat Back Small," 1,840",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/2850-cera-29-8-12-213877.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S4020104,bathroom and kitchen fittings,sanitary ware,sanitary,urinal,cera,CERA Urinals - CARYS,Urinal Flat Back," 2,400",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/2851-normal.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S4020105,bathroom and kitchen fittings,sanitary ware,sanitary,urinal,cera,CERA Urinals - CARAVAN,Urinal Flat Back 265 x 335 x 695 mm," 7,990",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/CARAVAN-5013-1090x1090-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S4040101,bathroom and kitchen fittings,sanitary ware,sanitary,urinal,cera,CERA Urinals - CARTA,Squatting Urinal," 2,400",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2017/01/S4040101-CARTA.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S4090101,bathroom and kitchen fittings,sanitary ware,sanitary,urinal,cera,CERA Urinals - CORVIN,Division plate," 2,590",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2017/01/S4090101.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S4010101,bathroom and kitchen fittings,sanitary ware,sanitary,urinal,cera,CERA Urinals - CALCIA EFS,Urinal Flat Back," 20,990",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/5005A-URINAL-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S4010102,bathroom and kitchen fittings,sanitary ware,sanitary,urinal,cera,CERA Urinals - CICILY,CICILY Lidless  Urinal with integrated EFS 320 x 300 x 525 mm," 17,500",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/06/5025-Cicily-Urinal-EFS.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F8030401AB,bathroom and kitchen fittings,sanitary ware,sanitary,hand jet spray ,cera,CERA Faucets - F8030401AB Health Faucet POM,Health faucet POM body with wall hook and," 1,585",,,,https://www.cera-india.com/wp-content/uploads/2018/10/Health-Faucet-F8030401AB-WEB.png,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F8030301,bathroom and kitchen fittings,sanitary ware,sanitary,hand jet spray ,cera,CERA Faucets - F8030301 Health Faucet (brass),Health faucet brass body with wall hook and 1 metre SS braided rubber hose pipe," 2,400",,,,https://www.cera-india.com/wp-content/uploads/2016/03/CG-105A-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F8030109AB,bathroom and kitchen fittings,sanitary ware,sanitary,hand jet spray ,cera,CERA Faucets - F8030109AB Health Faucet (ABS),Health Faucet ABS body with," 1,685",,,,https://www.cera-india.com/wp-content/uploads/2019/11/F8030109AB-Health-Faucet.png,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F8030108AB,bathroom and kitchen fittings,sanitary ware,sanitary,hand jet spray ,cera,CERA Faucets - F8030108AB Health Faucet (ABS),Health Faucet ABS body with," 1,430",,,,https://www.cera-india.com/wp-content/uploads/2019/11/F8030108AB-Health-Faucet.png,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F8030107AB,bathroom and kitchen fittings,sanitary ware,sanitary,hand jet spray ,cera,CERA Faucets - F8030107AB Health Faucet (ABS),Health Faucet ABS body with," 1,235",,,,https://www.cera-india.com/wp-content/uploads/2019/11/F8030107AB-Health-Faucet.png,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F8030106AB,bathroom and kitchen fittings,sanitary ware,sanitary,hand jet spray ,cera,CERA Faucets - F8030106AB Health Faucet (ABS),Health Faucet ABS body with," 1,105",,,,https://www.cera-india.com/wp-content/uploads/2019/11/F8030106AB-Health-Faucet.png,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F8030105AB,bathroom and kitchen fittings,sanitary ware,sanitary,hand jet spray ,cera,CERA Faucets - F8030105AB Health Faucet (ABS),Health Faucet ABS body with, 930,,,,https://www.cera-india.com/wp-content/uploads/2019/11/F8030105AB-Health-Faucet.png,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F8030104AB,bathroom and kitchen fittings,sanitary ware,sanitary,hand jet spray ,cera,CERA Faucets - F8030104AB Health Faucet (ABS),Health faucet ABS body with, 750,,,,https://www.cera-india.com/wp-content/uploads/2019/11/F8030104AB-Health-Faucet.png,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F8030103,bathroom and kitchen fittings,sanitary ware,sanitary,hand jet spray ,cera,CERA Faucets - F8030103 Health Faucet (ABS),Health faucet ABS body with wall hook and 1 metre chrome plated PVC hose pipe," 1,000",,,,https://www.cera-india.com/wp-content/uploads/2016/03/CG-205-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F8030102,bathroom and kitchen fittings,sanitary ware,sanitary,hand jet spray ,cera,CERA Faucets - F8030102 Health Faucet (ABS),Health faucet ABS body with wall hook and 1 metre SS braided rubber hose pipe," 2,195",,,,https://www.cera-india.com/wp-content/uploads/2016/03/CG-106-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
